62,random graphs/ratio_d3/r1.5k24n16/graph12.lgbin,2205,481,28,45,"[1, 3, 3, 2, 0, 1, 1, 5, 3, 1, 2, 1, 1, 5, 3, 3, 2, 1, 2, 1, 2, 2, 3, 1, 2, 2, 5, 6, 3, 3, 2, 4, 2, 3, 1, 1, 4, 1, 6, 1, 5, 1, 0, 3, 6, 5, 2, 3, 5, 5, 1, 1, 4, 2, 3, 2, 5, 1, 4, 4, 0, 2, 2, 3, 1, 1, 1, 3, 4, 0, 1, 2, 2, 0, 3, 4, 1, 2, 3, 2, 3, 2, 1, 2, 1, 1, 3, 2, 5, 2, 1, 4, 3, 6, 1, 5, 2, 2, 4, 4, 1, 3, 4, 2, 2, 2, 1, 2, 2, 1, 0, 1, 0, 6, 1, 3, 3, 2, 2, 4, 1, 3, 3, 1, 2, 3, 2, 2, 1, 3, 0, 3, 0, 3, 1, 4, 6, 1, 1, 2, 1, 2, 6, 0, 1, 5, 2, 4, 3, 0, 2, 3, 2, 3, 2, 4, 4, 0, 2, 2, 3, 4, 1, 5, 2, 2, 0, 4, 4, 0, 4, 4, 4, 3, 0, 4, 1, 2, 3, 5, 2, 1, 2, 2, 3, 2, 2, 0, 0, 1, 5, 3, 4, 2, 1, 0, 1, 4, 2, 2, 3, 3, 1, 2, 1, 1, 2, 0, 3, 5, 0, 1, 2, 1, 1, 0, 0, 3, 5, 0, 1, 1, 1, 2, 1, 4, 3, 4, 2, 0, 4, 1, 3, 1, 2, 0, 1, 2, 2, 3, 2, 4, 2, 3, 2, 3, 1, 0, 1, 2, 2, 2, 2, 1, 1, 2, 1, 4, 2, 2, 1, 1, 3, 3, 3, 0, 3, 2, 3, 0, 3, 1, 1, 0, 1, 4, 3, 3, 3, 2, 2, 3, 2, 1, 4, 4, 3, 2, 4, 2, 3, 3, 2, 3, 5, 3, 2, 2, 5, 1, 3, 1, 8, 1, 3, 4, 6, 4, 3, 1, 4, 1, 4, 2, 3, 2, 4, 3, 4, 4, 3, 1, 3, 2, 5, 5, 2, 4, 0, 1, 6, 4, 1, 1, 2, 1, 1, 2, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 2, 3, 0, 1, 3, 3, 0, 1, 3, 3, 1]"
63,random graphs/ratio_d3/r1.5k24n16/graph13.lgbin,2205,259,28,46,"[1, 2, 2, 3, 1, 1, 2, 0, 1, 1, 2, 2, 3, 0, 1, 1, 4, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 2, 1, 3, 3, 0, 2, 2, 3, 6, 2, 2, 4, 1, 2, 0, 2, 1, 4, 3, 4, 2, 0, 2, 3, 2, 6, 6, 6, 3, 3, 4, 1, 1, 2, 3, 3, 1, 3, 2, 2, 4, 3, 2, 6, 0, 6, 2, 3, 2, 2, 4, 4, 4, 3, 3, 4, 3, 5, 2, 1, 3, 2, 3, 3, 3, 4, 1, 3, 3, 3, 3, 3, 7, 1, 2, 4, 3, 2, 4, 3, 2, 2, 3, 4, 4, 4, 4, 3, 2, 1, 2, 3, 2, 3, 2, 2, 2, 3, 1, 4, 2, 2, 4, 5, 3, 4, 1, 1, 5, 2, 4, 4, 1, 4, 2, 1, 3, 1, 0, 3, 2, 3, 3, 0, 2, 2, 3, 2, 2, 3, 5, 2, 2, 7, 1, 3, 2, 2, 1, 4, 2, 6, 2, 1, 6, 1, 3, 2, 2, 1, 1, 2, 3, 2, 3, 5, 5, 2, 4, 3, 1, 4, 3, 3, 2, 4, 4, 2, 3, 5, 3, 2, 2, 1, 3, 3, 3, 3, 1, 5, 0, 3, 3, 3, 1, 1, 2, 2, 3, 0, 1, 1, 2, 2, 1, 1, 3, 2, 1, 2, 3, 5, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 5, 8, 5, 1, 6, 3, 2, 4, 3, 4, 4, 2, 2, 4, 1, 5, 2, 3, 1, 0, 2, 2, 3, 2, 3, 1, 3, 2, 1, 3, 3, 4, 4, 0, 5, 4, 5, 3, 3, 1, 4, 1, 3, 2, 4, 4, 4, 1, 6, 6, 7, 2, 3, 2, 3, 2, 1, 0, 4, 2, 3, 1, 1, 6, 2, 2, 2, 5, 4, 7, 6, 3, 1, 0, 3, 0, 2, 1, 1, 1, 2, 3, 3, 0, 1, 1, 2, 3, 0, 3, 2, 1, 2, 1, 4, 0, 2, 1, 0, 3, 1, 1, 1, 0, 1, 3, 3, 2, 3, 1, 0, 1, 1, 2, 2, 2, 1, 1, 0, 0, 1]"
64,random graphs/ratio_d3/r1.5k24n16/graph14.lgbin,2205,404,25,44,"[2, 2, 1, 1, 1, 0, 0, 1, 3, 1, 0, 2, 1, 2, 1, 3, 0, 3, 0, 3, 2, 5, 3, 1, 2, 1, 2, 1, 1, 0, 3, 1, 3, 2, 6, 3, 4, 3, 1, 3, 5, 3, 3, 2, 2, 1, 5, 2, 0, 4, 6, 2, 2, 3, 4, 3, 4, 5, 3, 1, 6, 4, 7, 5, 1, 4, 4, 1, 3, 4, 1, 5, 3, 2, 4, 2, 3, 4, 2, 8, 3, 4, 7, 1, 4, 0, 2, 3, 6, 4, 2, 4, 10, 2, 4, 3, 2, 3, 5, 3, 7, 7, 6, 4, 4, 4, 6, 2, 7, 5, 4, 2, 4, 7, 4, 6, 6, 4, 2, 4, 6, 5, 5, 6, 4, 4, 2, 3, 5, 2, 2, 2, 5, 7, 3, 2, 2, 1, 2, 4, 2, 3, 3, 8, 1, 2, 2, 3, 3, 3, 2, 1, 3, 2, 0, 3, 1, 2, 1, 3, 2, 2, 1, 3, 1, 3, 3, 0, 3, 1, 0, 2, 3, 3, 3, 3, 2, 4, 1, 2, 1, 1, 3, 1, 3, 3, 1, 5, 1, 1, 3, 3, 3, 2, 1, 3, 1, 2, 4, 4, 2, 0, 1, 3, 2, 2, 1, 2, 1, 2, 2, 0, 3, 3, 1, 3, 5, 1, 3, 1, 4, 3, 1, 3, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 4, 0, 3, 1, 3, 4, 1, 2, 2, 2, 3, 0, 4, 2, 2, 0, 3, 1, 0, 2, 4, 0, 1, 2, 3, 0, 0, 0, 1, 2, 3, 4, 2, 3, 2, 3, 3, 3, 1, 1, 2, 4, 3, 3, 3, 3, 4, 4, 1, 3, 3, 1, 3, 4, 4, 3, 6, 3, 2, 2, 4, 0, 1, 1, 5, 1, 1, 1, 4, 2, 2, 2, 2, 5, 1, 1, 3, 2, 3, 5, 1, 2, 0, 2, 3, 1, 1, 2, 2, 0, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0]"
65,random graphs/ratio_d3/r1.5k24n16/graph15.lgbin,2205,379,18,32,"[3, 1, 0, 2, 2, 0, 3, 1, 1, 0, 2, 2, 1, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 2, 1, 2, 3, 3, 3, 2, 2, 0, 1, 3, 0, 2, 2, 2, 4, 1, 3, 4, 3, 2, 2, 5, 4, 3, 6, 2, 1, 5, 0, 1, 1, 3, 1, 1, 0, 5, 0, 0, 2, 1, 5, 1, 1, 3, 4, 7, 1, 7, 1, 2, 5, 2, 4, 1, 3, 3, 3, 4, 4, 0, 1, 2, 2, 2, 5, 2, 1, 0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 1, 0, 2, 0, 2, 1, 0, 2, 3, 3, 1, 2, 1, 3, 4, 1, 1, 2, 1, 2, 0, 3, 3, 2, 1, 2, 2, 4, 2, 4, 1, 1, 2, 4, 2, 3, 3, 2, 5, 2, 1, 3, 1, 3, 2, 5, 1, 2, 1, 1, 0, 1, 1, 1, 2, 2, 2, 1, 0, 1, 3, 3, 4, 0, 1, 1, 2, 1, 3, 2, 1, 1, 2, 3, 1, 1, 0, 2, 2, 0, 3, 2, 1, 1, 1, 1, 1, 4, 1, 3, 0, 3, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 4, 3, 1, 1, 1, 2, 3, 0, 1, 1, 3, 0, 3, 1, 1, 2, 0, 3, 1, 0, 2, 0, 2, 1, 2, 3, 0, 2, 4, 0, 3, 3, 3, 3, 1, 4, 1, 1, 1, 1, 2, 1, 4, 5, 2, 1, 2, 2, 2, 1, 3, 1, 4, 1, 2, 1, 4, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 4, 2, 0, 0, 2, 2, 2, 3, 2, 0, 1, 2, 1, 2, 1, 0, 0, 3, 3, 1, 0, 2, 2, 2, 1, 1, 1, 3, 1, 2, 1, 2, 3, 2, 2, 2, 1, 1, 1, 2, 1, 1, 3, 3, 2, 5, 4, 2, 2, 1, 2, 2, 3, 5, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 3, 1, 2, 1, 0, 0, 1, 1, 1, 0, 1, 2, 0, 2, 1, 1, 1]"
66,random graphs/ratio_d3/r1.5k24n16/graph16.lgbin,2205,536,27,43,"[1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, 3, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 2, 1, 3, 1, 1, 2, 2, 1, 1, 2, 3, 3, 0, 2, 2, 3, 0, 1, 2, 1, 3, 2, 2, 1, 2, 0, 2, 2, 2, 3, 2, 4, 1, 2, 2, 2, 1, 3, 4, 2, 3, 0, 3, 4, 2, 1, 2, 2, 1, 3, 1, 3, 1, 0, 4, 5, 3, 2, 4, 4, 3, 3, 3, 2, 2, 3, 3, 4, 4, 3, 3, 8, 1, 8, 5, 6, 3, 5, 3, 5, 2, 3, 3, 2, 5, 1, 5, 4, 4, 2, 4, 4, 0, 5, 3, 3, 5, 2, 0, 6, 3, 4, 1, 2, 6, 5, 1, 1, 8, 2, 3, 6, 6, 3, 3, 5, 4, 1, 1, 0, 2, 1, 2, 2, 2, 0, 1, 2, 1, 3, 1, 1, 3, 1, 3, 3, 3, 4, 3, 3, 1, 4, 3, 1, 3, 0, 2, 1, 1, 3, 3, 3, 3, 3, 3, 2, 3, 4, 2, 5, 1, 4, 0, 3, 3, 6, 1, 2, 5, 3, 2, 3, 2, 1, 4, 1, 1, 5, 2, 1, 3, 5, 2, 4, 2, 2, 1, 0, 5, 1, 3, 0, 3, 2, 1, 2, 2, 0, 0, 2, 1, 3, 3, 1, 2, 2, 2, 4, 2, 3, 2, 1, 2, 2, 0, 1, 1, 6, 4, 2, 2, 2, 2, 0, 2, 2, 4, 2, 2, 4, 3, 2, 2, 1, 2, 1, 5, 1, 5, 1, 3, 1, 5, 1, 3, 3, 1, 4, 2, 4, 2, 2, 3, 0, 2, 0, 1, 3, 1, 1, 2, 1, 1, 2, 3, 1, 5, 1, 3, 1, 2, 1, 2, 4, 2, 1, 3, 3, 4, 2, 3, 5, 1, 2, 2, 5, 2, 4, 2, 2, 7, 3, 2, 1, 4, 4, 0, 3, 2, 3, 4, 4, 4, 2, 1, 3, 3, 2, 4, 2, 5, 3, 1, 3, 1, 2, 5, 2, 4, 3, 1, 1, 1, 7, 0, 1, 2, 3, 2]"
67,random graphs/ratio_d3/r1.5k24n16/graph17.lgbin,2205,322,17,37,"[2, 1, 1, 0, 1, 2, 1, 1, 2, 1, 3, 2, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 2, 1, 4, 2, 2, 1, 3, 2, 3, 1, 2, 2, 4, 2, 0, 4, 2, 1, 4, 1, 2, 2, 3, 2, 0, 4, 3, 2, 0, 4, 1, 5, 2, 1, 1, 1, 2, 4, 2, 2, 3, 1, 1, 4, 2, 0, 2, 3, 3, 3, 1, 2, 1, 1, 3, 2, 4, 4, 3, 1, 2, 5, 2, 2, 2, 2, 4, 4, 4, 3, 3, 1, 5, 1, 1, 3, 1, 2, 3, 1, 2, 1, 3, 6, 0, 3, 1, 0, 1, 3, 1, 5, 2, 3, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0, 1, 3, 0, 1, 0, 1, 1, 1, 2, 1, 0, 2, 1, 1, 5, 1, 1, 3, 1, 2, 0, 1, 1, 3, 3, 4, 4, 2, 3, 2, 2, 4, 1, 3, 1, 0, 2, 4, 2, 3, 1, 3, 3, 3, 2, 3, 1, 3, 1, 3, 0, 0, 1, 1, 4, 2, 1, 2, 1, 3, 2, 1, 2, 1, 1, 2, 4, 0, 2, 2, 2, 2, 0, 2, 1, 1, 3, 2, 1, 3, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 2, 3, 1, 3, 3, 4, 0, 2, 1, 1, 3, 3, 1, 0, 1, 2, 3, 3, 2, 3, 0, 3, 1, 2, 1, 2, 3, 1, 2, 2, 2, 2, 1, 3, 2, 0, 2, 1, 2, 3, 1, 0, 3, 2, 0, 2, 3, 3, 4, 3, 1, 2, 3, 0, 0, 2, 3, 0, 1, 3, 3, 2, 2, 0, 1, 3, 3, 5, 3, 4, 4, 5, 1, 3, 2, 1, 3, 5, 3, 1, 0, 3, 4, 1, 1, 1, 1, 4, 1, 5, 3, 2, 4, 3, 1, 5, 1, 1, 3, 2, 3, 2, 1, 1, 4, 1, 1, 3, 2, 1, 5, 1, 2, 0, 4, 5, 1, 0, 4, 0, 2, 4, 3, 5, 1, 0, 2]"
68,random graphs/ratio_d3/r1.5k24n16/graph18.lgbin,2205,345,23,43,"[2, 4, 0, 0, 1, 0, 0, 1, 1, 1, 2, 2, 1, 1, 3, 0, 2, 0, 2, 1, 3, 2, 4, 1, 1, 3, 2, 2, 3, 2, 0, 1, 2, 3, 4, 4, 3, 0, 3, 2, 4, 0, 2, 0, 1, 2, 4, 2, 2, 1, 0, 1, 4, 3, 3, 0, 2, 1, 3, 1, 4, 1, 1, 2, 3, 2, 1, 2, 2, 2, 1, 1, 2, 0, 3, 0, 1, 2, 1, 0, 1, 2, 3, 2, 2, 3, 0, 1, 1, 1, 2, 1, 2, 0, 5, 2, 1, 5, 2, 2, 4, 5, 2, 5, 0, 1, 6, 1, 4, 4, 2, 1, 2, 1, 2, 4, 3, 3, 4, 1, 1, 0, 4, 4, 3, 3, 1, 5, 3, 2, 1, 5, 2, 1, 2, 2, 3, 3, 5, 2, 8, 1, 1, 1, 4, 2, 6, 5, 4, 2, 5, 4, 2, 2, 4, 1, 2, 2, 2, 1, 8, 3, 4, 1, 1, 3, 3, 2, 0, 1, 2, 4, 2, 6, 5, 3, 1, 1, 3, 5, 1, 3, 2, 2, 1, 2, 3, 3, 4, 1, 2, 5, 2, 1, 1, 0, 1, 1, 2, 1, 3, 1, 1, 3, 1, 3, 1, 2, 1, 1, 0, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 0, 2, 1, 3, 0, 4, 1, 1, 5, 2, 1, 3, 0, 3, 4, 5, 2, 5, 2, 2, 2, 6, 3, 2, 2, 5, 2, 6, 2, 2, 1, 3, 3, 4, 2, 1, 3, 1, 2, 2, 5, 3, 1, 2, 3, 3, 2, 2, 4, 2, 0, 2, 4, 3, 2, 2, 2, 3, 3, 3, 3, 1, 1, 2, 3, 2, 4, 5, 1, 3, 1, 4, 1, 5, 2, 3, 6, 3, 3, 2, 1, 0, 6, 0, 1, 2, 4, 0, 2, 1, 4, 4, 2, 2, 1, 2, 7, 1, 5, 2, 3, 2, 1, 1, 2, 4, 2, 3, 1, 4, 4, 4, 2, 2, 2, 4, 1, 3, 0, 1, 1, 0, 2, 0, 1, 1, 3, 0, 2, 3, 2, 1, 1, 0, 1, 1, 2, 0, 0, 0]"
69,random graphs/ratio_d3/r1.5k24n16/graph19.lgbin,2205,403,29,46,"[3, 2, 3, 2, 3, 3, 1, 3, 1, 1, 2, 2, 1, 2, 1, 0, 3, 3, 3, 2, 3, 1, 3, 2, 1, 1, 3, 0, 2, 2, 1, 1, 2, 5, 3, 5, 4, 2, 1, 1, 1, 3, 3, 1, 1, 1, 5, 2, 2, 4, 1, 3, 2, 1, 1, 5, 2, 4, 1, 2, 1, 1, 3, 3, 2, 3, 0, 1, 2, 3, 2, 1, 1, 1, 0, 3, 4, 3, 5, 4, 4, 5, 3, 3, 2, 3, 0, 2, 3, 1, 1, 3, 3, 1, 2, 4, 2, 3, 4, 2, 1, 2, 4, 2, 3, 3, 3, 0, 0, 4, 2, 2, 1, 5, 2, 2, 3, 2, 3, 1, 4, 1, 5, 1, 0, 5, 3, 5, 3, 2, 4, 0, 2, 5, 2, 5, 2, 5, 1, 5, 5, 3, 2, 3, 4, 3, 6, 1, 4, 0, 4, 2, 0, 3, 5, 3, 3, 1, 1, 2, 6, 4, 4, 3, 2, 7, 6, 2, 4, 2, 4, 3, 1, 1, 3, 5, 3, 4, 3, 1, 1, 5, 3, 4, 2, 4, 2, 2, 1, 3, 8, 3, 0, 2, 2, 4, 0, 2, 3, 2, 5, 2, 5, 4, 3, 3, 1, 3, 3, 5, 3, 3, 1, 3, 1, 5, 2, 1, 5, 5, 1, 2, 5, 1, 5, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 4, 3, 2, 1, 1, 4, 1, 4, 1, 1, 3, 2, 2, 2, 3, 4, 3, 2, 2, 2, 2, 2, 3, 2, 5, 0, 4, 1, 2, 3, 3, 3, 1, 1, 1, 0, 2, 2, 1, 2, 1, 0, 1, 3, 3, 2, 5, 2, 2, 2, 0, 2, 3, 6, 3, 3, 2, 2, 2, 1, 2, 3, 2, 2, 1, 6, 3, 4, 1, 1, 0, 2, 3, 3, 4, 4, 4, 3, 1, 1, 2, 3, 2, 4, 2, 1, 7, 2, 5, 4, 3, 0, 5, 1, 3, 3, 1, 1, 4, 1, 1, 4, 0, 1, 6, 1, 2, 2, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1]"
70,random graphs/ratio_d3/r1.5k24n16/graph20.lgbin,2205,693,33,46,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 3, 2, 4, 2, 2, 2, 3, 1, 3, 1, 2, 2, 1, 4, 1, 1, 7, 3, 2, 2, 2, 4, 2, 4, 2, 0, 0, 4, 3, 3, 1, 0, 2, 3, 1, 2, 2, 2, 2, 0, 0, 4, 3, 0, 0, 1, 1, 3, 2, 3, 1, 3, 2, 3, 1, 1, 3, 0, 0, 2, 3, 0, 0, 1, 2, 1, 0, 3, 2, 3, 2, 2, 1, 0, 0, 1, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 3, 0, 0, 0, 1, 1, 3, 2, 1, 1, 1, 0, 2, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 1, 3, 2, 1, 3, 2, 2, 2, 2, 0, 1, 1, 3, 1, 0, 3, 1, 2, 1, 4, 4, 2, 0, 1, 3, 1, 1, 1, 2, 2, 0, 1, 4, 7, 2, 0, 1, 1, 3, 3, 3, 1, 3, 2, 0, 1, 3, 3, 3, 3, 3, 3, 0, 4, 1, 3, 2, 1, 5, 4, 6, 4, 6, 3, 2, 2, 6, 2, 5, 8, 7, 5, 3, 5, 6, 3, 2, 6, 1, 3, 6, 1, 5, 5, 6, 6, 6, 5, 2, 2, 4, 3, 5, 5, 1, 2, 5, 6, 5, 0, 7, 2, 8, 4, 0, 2, 6, 5, 3, 4, 5, 2, 5, 3, 2, 5, 4, 4, 5, 2, 5, 7, 4, 7, 3, 6, 4, 5, 3, 6, 6, 3, 1, 3, 2, 1, 2, 4, 6, 3, 1, 5, 4, 2, 5, 3, 2, 2, 2, 2, 6, 2, 3, 1, 3, 2, 2, 1, 2, 1, 3, 3, 3, 2, 2, 1, 2, 1, 2, 3, 1, 3, 3, 4, 2, 2, 1, 4, 3, 2, 1, 1, 2, 3, 0, 2, 2, 1, 2, 3, 3, 2, 1, 6, 3, 2, 4, 3, 2, 3, 1, 2, 2, 2, 2, 4, 1, 3, 1, 0, 0, 2, 3, 2, 0, 2, 1, 3, 2, 0, 1, 1, 2, 1, 2]"
71,random graphs/ratio_d3/r1.5k24n16/graph21.lgbin,2205,270,21,32,"[1, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 3, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 0, 1, 2, 3, 1, 1, 3, 3, 0, 3, 2, 1, 2, 1, 0, 5, 3, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, 3, 3, 3, 2, 4, 1, 3, 1, 1, 4, 3, 1, 1, 1, 1, 0, 2, 2, 1, 2, 2, 2, 1, 0, 2, 2, 0, 2, 2, 2, 2, 1, 1, 1, 2, 2, 0, 2, 2, 2, 2, 1, 1, 2, 2, 0, 4, 1, 2, 1, 2, 2, 5, 2, 2, 1, 2, 2, 1, 3, 5, 4, 2, 2, 0, 0, 1, 1, 1, 3, 3, 2, 2, 0, 1, 2, 1, 1, 2, 1, 2, 1, 5, 3, 5, 6, 3, 2, 6, 3, 1, 5, 4, 3, 6, 4, 7, 5, 4, 0, 1, 2, 1, 2, 5, 3, 1, 2, 6, 5, 4, 3, 2, 4, 1, 5, 2, 2, 2, 2, 1, 1, 4, 1, 1, 3, 3, 2, 3, 4, 1, 2, 3, 1, 1, 2, 2, 2, 3, 3, 0, 2, 1, 3, 3, 1, 1, 3, 2, 2, 5, 3, 1, 5, 3, 2, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 4, 5, 2, 1, 2, 2, 2, 1, 1, 2, 4, 2, 0, 2, 2, 1, 0, 2, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 2, 2, 2, 1, 0, 2, 4, 2, 1, 4, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 4, 2, 2, 1, 3, 2, 1, 3, 2, 2, 3, 0, 2, 2, 1, 2, 3, 4, 2, 0, 0, 1, 0, 2, 2, 3, 2, 0, 2, 2, 0, 3, 1, 0, 1, 1, 1, 3, 2, 2, 1, 0, 2, 0, 2, 2, 1, 1, 3, 1, 1, 0, 1]"
