Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,15539,115,2,4,"[0, 2, 2, 3, 2, 1, 0, 2, 3, 2, 2, 3, 2, 3, 2, 0, 3, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 1, 3, 2, 1, 2, 3, 3, 2, 2, 3, 3, 1, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 0, 2, 1, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 2, 0, 2, 0, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1, 0, 2, 1, 0, 2, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 0, 2, 3, 1, 2, 2, 4, 2, 2, 2, 4, 2, 3, 2, 1, 1, 3, 2, 1, 0, 1, 3, 3, 1, 0, 1, 1, 0, 3, 1, 1, 2, 0, 3, 1, 1, 1, 0, 3, 1, 1, 0, 3, 2, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,15539,121,3,5,"[0, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 3, 2, 4, 2, 2, 1, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 0, 3, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 3, 2, 4, 2, 3, 3, 2, 3, 2, 1, 2, 4, 5, 1, 2, 3, 3, 2, 4, 3, 3, 2, 3, 1, 3, 3, 2, 3, 4, 2, 2, 2, 3, 3, 2, 2, 3, 1, 2, 2, 4, 2, 3, 1, 2, 2, 1, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 3, 4, 5, 2, 1, 2, 4, 3, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 4, 2, 4, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 4, 1, 4]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,15539,701,3,5,"[2, 1, 2, 1, 2, 2, 1, 3, 3, 3, 2, 3, 1, 1, 1, 4, 2, 3, 2, 1, 2, 1, 2, 3, 3, 1, 3, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 0, 3, 3, 2, 1, 4, 0, 2, 2, 2, 4, 2, 2, 3, 1, 2, 2, 3, 2, 3, 0, 2, 2, 2, 2, 3, 2, 2, 1, 3, 2, 2, 2, 2, 0, 2, 3, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 2, 2, 2, 2, 3, 3, 2, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2, 4, 1, 2, 3, 2, 2, 3, 3, 3, 2, 2, 1, 3, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 2, 3, 1, 1, 2, 2, 3, 0, 2, 3, 2, 2, 3, 1, 2, 2, 3, 2, 1, 1, 3, 1, 1, 0, 1, 1, 1, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,15539,274,2,5,"[1, 2, 1, 2, 4, 2, 1, 4, 2, 5, 1, 2, 1, 2, 5, 1, 2, 2, 0, 1, 2, 1, 1, 2, 2, 1, 1, 0, 1, 2, 2, 2, 0, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 4, 2, 3, 2, 3, 1, 3, 2, 1, 1, 4, 3, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 3, 2, 3, 1, 2, 3, 3, 2, 4, 2, 3, 3, 5, 2, 2, 3, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2, 3, 2, 4, 2, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 1, 2, 3, 2, 3, 1, 3, 3, 3, 2, 2, 4, 2, 2, 1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2, 0, 3, 1, 3, 0, 2, 4, 2, 1, 1, 4, 2, 5, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 4, 2, 4, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,15539,219,3,5,"[4, 3, 3, 3, 2, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 4, 2, 2, 3, 5, 4, 4, 2, 3, 2, 3, 3, 3, 3, 3, 4, 4, 4, 3, 2, 2, 3, 4, 2, 4, 2, 3, 4, 3, 0, 2, 4, 2, 4, 3, 2, 4, 4, 2, 3, 3, 3, 3, 5, 4, 4, 2, 5, 4, 3, 3, 2, 3, 3, 3, 3, 5, 4, 2, 4, 4, 4, 3, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 3, 2, 0, 1, 2, 2, 0, 1, 2, 5, 1, 0, 2, 3, 1, 1, 3, 1, 5, 0, 2, 1, 2, 1, 3, 2, 3, 1, 3, 2, 1, 2, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 0, 3, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 0, 2, 3, 0, 2, 4, 4, 1, 3, 3, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 3, 1, 3, 3, 2, 1, 3, 1, 3, 2, 3, 2, 3, 2, 3, 0, 1, 2, 4, 2, 2, 3, 2, 4, 3, 4, 3, 3, 2, 4, 3, 3, 2, 2, 2]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,15539,147,6,8,"[3, 4, 3, 3, 3, 4, 6, 3, 2, 7, 3, 3, 4, 2, 3, 3, 1, 5, 4, 4, 3, 2, 3, 4, 2, 3, 3, 4, 4, 4, 3, 3, 3, 2, 3, 4, 4, 3, 3, 3, 2, 3, 3, 6, 6, 2, 3, 3, 3, 3, 2, 5, 4, 3, 2, 4, 6, 4, 3, 5, 3, 3, 5, 4, 4, 1, 2, 3, 2, 2, 2, 5, 2, 4, 4, 3, 3, 1, 2, 5, 2, 4, 4, 3, 2, 2, 3, 3, 1, 0, 3, 1, 2, 2, 2, 1, 2, 2, 1, 4, 2, 2, 3, 3, 2, 3, 2, 1, 1, 2, 5, 6, 3, 1, 3, 5, 4, 5, 1, 4, 3, 3, 6, 8, 4, 7, 2, 5, 3, 3, 3, 4, 4, 1, 2, 2, 2, 3, 0, 2, 2, 2, 5, 2, 1, 2, 6, 4, 5, 1, 1, 1, 1, 2, 2, 0, 0, 1, 3, 0, 4, 1, 1, 3, 1, 1, 1, 1, 0, 0, 1, 3, 1, 2, 1, 5, 0, 3, 5, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,15539,530,1,3,"[2, 2, 1, 2, 2, 2, 2, 0, 0, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 3, 2, 0, 1, 2, 1, 3, 2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 3, 2, 0, 1, 1, 0, 2, 2, 1, 2, 1, 2, 2, 2, 0, 3, 3, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 0, 2, 1, 2, 2, 1, 3, 2, 2, 2, 2, 1, 2, 2, 3, 1, 2, 3, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 1, 2, 2, 3, 3, 3, 0, 1, 2, 0, 3]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,15539,264,3,6,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 2, 2, 0, 1, 1, 3, 1, 4, 1, 1, 4, 1, 1, 4, 1, 0, 2, 1, 3, 1, 4, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 2, 1, 1, 3, 1, 4, 3, 1, 4, 2, 3, 3, 4, 3, 3, 1, 5, 2, 2, 5, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 0, 2, 4, 3, 1, 3, 1, 2, 1, 1, 3, 4, 3, 2, 1, 2, 2, 3, 1, 4, 2, 2, 2, 2, 3, 4, 4, 2, 4, 3, 1, 3, 4, 3, 4, 4, 4, 4, 2, 3, 3, 1, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 1, 2, 4, 4, 3, 5, 2, 5, 3, 0, 5, 3, 2, 3, 4, 4, 3, 3, 3, 4, 5, 3, 3, 4, 3, 0, 2, 4, 3, 3, 2, 1, 1, 2, 5, 2, 1, 1, 2, 4, 4, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,15539,916,3,4,"[1, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 1, 3, 2, 2, 2, 2, 3, 2, 1, 2, 3, 3, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3, 4, 3, 2, 3, 2, 4, 2, 1, 1, 1, 2, 1, 3, 1, 2, 2, 1, 2, 3, 1, 2, 1, 2, 1, 2, 3, 3, 0, 2, 2, 2, 1, 2, 3, 1, 4, 2, 3, 3, 3, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 1, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 1, 2, 0, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 2, 2, 2, 0, 2, 2, 3, 2, 4, 2, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 4, 3, 2, 2, 4, 3, 4, 1, 2, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,15539,245,4,5,"[2, 2, 1, 3, 2, 1, 4, 2, 4, 0, 2, 3, 4, 2, 4, 3, 0, 4, 0, 2, 2, 4, 2, 3, 3, 1, 4, 3, 3, 2, 3, 1, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 5, 4, 2, 3, 2, 1, 3, 4, 3, 4, 2, 4, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 4, 4, 2, 2, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 5, 2, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 2, 3, 3, 4, 4, 2, 3, 3, 1, 3, 2, 1, 2, 4, 1, 3, 3, 0, 2, 1, 1, 4, 1, 2, 1, 4, 2, 1, 0, 1, 0, 2, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 2, 4, 4, 2, 1, 1, 0, 2, 1, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 4, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 3, 4, 3, 2, 2, 2, 1, 3, 2, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 2]"
