Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/triangle/r1.5k18n12/graph0.lgbin,2676,55,12,21,"[0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 4, 2, 1, 1, 2, 0, 4, 1, 4, 1, 1, 1, 2, 4, 3, 3, 3, 2, 1, 7, 1, 2, 2, 4, 1, 3, 4, 1, 2, 8, 6, 2, 8, 2, 7, 2, 1, 7, 4, 2, 6, 1, 4, 2, 3, 6, 5, 2, 2, 6, 1, 1, 6, 2, 2, 4, 7, 6, 3, 1, 3, 7, 2, 3, 2, 4, 2, 3, 4, 5, 1, 3, 2, 6, 5, 5, 4, 4, 5, 3, 5, 4, 6, 9, 3, 4, 2, 2, 2, 4, 3, 4, 5, 3, 5, 4, 4, 4, 5, 2, 4, 4, 6, 2, 3, 3, 1, 3, 4, 4, 3, 3, 5, 9, 3, 2, 2, 2, 4, 4, 1, 6, 3, 4, 2, 3, 4, 7, 6, 5, 2, 1, 3, 4, 3, 2, 3, 3]"
1,random graphs/triangle/r1.5k18n12/graph1.lgbin,2676,25,7,9,"[0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 0, 2, 2, 3, 2, 1, 2, 2, 2, 4, 4, 2, 2, 1, 2, 0, 4, 1, 3, 2, 2, 4, 4, 1, 2, 2, 1, 3, 3, 2, 3, 3, 2, 2, 4, 1, 5, 2, 1, 2, 3, 4, 2, 2, 3, 3, 1, 3, 1, 3, 1, 2, 4, 1, 2, 3, 1, 2, 2, 2, 2, 1, 1, 1, 4, 1, 1, 4, 3, 4, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 5, 2, 2, 2, 4, 1, 4, 2, 2, 1, 5, 2, 1, 0, 1, 2, 1, 1, 2, 1, 4, 2, 2, 3, 3, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 4, 3, 1, 2, 3, 2, 1, 2, 3, 3, 1, 1, 0, 2, 3, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 4, 0, 2, 1, 2, 3, 2]"
2,random graphs/triangle/r1.5k18n12/graph2.lgbin,2676,52,3,12,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 3, 1, 2, 0, 1, 1, 1, 2, 2, 1, 2, 1, 1, 0, 2, 2, 1, 2, 3, 1, 2, 2, 2, 3, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 0, 1, 2, 4, 2, 0, 1, 3, 4, 2, 3, 2, 1, 2, 1, 3, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 4, 3, 3, 0, 3, 2, 3, 1, 2, 2, 0, 1, 1, 1, 4, 3, 4, 2, 3, 3, 4, 2, 2, 2, 1, 3, 3, 2, 0, 1, 3, 3, 1, 2, 4, 2, 2, 4, 3, 2, 1, 1, 2, 1, 1, 3, 4, 2, 3, 1, 1, 4, 2, 1, 5, 3, 3, 3, 2, 1, 2, 1, 3, 0, 5, 3, 0, 2, 1, 0, 1, 2, 1, 3, 0, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 1, 0, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1]"
3,random graphs/triangle/r1.5k18n12/graph3.lgbin,2676,233,9,11,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 1, 2, 1, 3, 2, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 2, 3, 1, 3, 2, 2, 2, 1, 1, 0, 2, 2, 4, 5, 0, 2, 2, 0, 0, 3, 1, 0, 0, 0, 2, 2, 1, 2, 2, 2, 3, 1, 4, 3, 3, 0, 1, 0, 1, 5, 4, 4, 0, 4, 3, 1, 6, 4, 1, 3, 1, 3, 5, 5, 1, 4, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 2, 3, 0, 1, 2, 2, 1, 3, 2, 3, 1, 3, 1, 1, 3, 4, 0, 0, 2, 1, 1, 3, 2, 1, 1, 1, 1, 3, 2, 3, 3, 1, 3, 1, 1, 3, 0, 3, 0, 3, 5, 3]"
4,random graphs/triangle/r1.5k18n12/graph4.lgbin,2676,193,9,14,"[0, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 4, 1, 4, 0, 5, 5, 1, 6, 5, 3, 2, 1, 3, 1, 4, 3, 1, 4, 1, 1, 1, 2, 1, 2, 3, 1, 3, 2, 6, 3, 4, 1, 2, 5, 4, 1, 1, 3, 1, 3, 4, 2, 1, 3, 2, 1, 1, 0, 3, 3, 3, 3, 1, 7, 5, 2, 3, 0, 2, 1, 5, 0, 6, 2, 3, 2, 0, 1, 5, 2, 3, 5, 2, 5, 2, 3, 2, 3, 5, 3, 2, 2, 3, 3, 2, 2, 1, 2, 4, 4, 3, 2, 1, 2, 2, 5, 5, 0, 1, 1, 3, 1, 2, 3, 2, 1, 1, 1, 2, 3, 1, 3, 3, 2, 1, 1, 1, 4, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 2, 1, 2, 1, 1, 2, 0, 2, 2, 1]"
5,random graphs/triangle/r1.5k18n12/graph5.lgbin,2676,247,7,16,"[0, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 3, 3, 2, 1, 3, 2, 2, 3, 5, 6, 3, 1, 2, 4, 2, 3, 2, 1, 1, 1, 3, 4, 2, 3, 3, 2, 1, 2, 2, 3, 2, 3, 3, 4, 2, 3, 4, 3, 2, 3, 3, 4, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 5, 1, 3, 2, 4, 3, 2, 4, 2, 4, 2, 2, 2, 4, 3, 2, 2, 1, 4, 2, 5, 3, 4, 2, 6, 3, 4, 3, 2, 3, 2, 3, 2, 4, 6, 2, 3, 4, 1, 5, 1, 4, 4, 1, 4, 3, 3, 3, 4, 3, 1, 3, 4, 1, 2, 2, 4, 0, 2, 3, 0, 3, 4, 3, 3, 5, 2, 2, 3, 5, 1, 1, 0, 2, 1, 3, 3, 1, 1, 2, 3, 4, 1, 1, 2, 1, 2, 4, 2, 1, 3, 2, 1, 0, 2, 2, 1, 2, 6, 2, 3, 1, 1, 2]"
6,random graphs/triangle/r1.5k18n12/graph6.lgbin,2676,236,5,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 4, 2, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 3, 2, 1, 2, 1, 2, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 2, 1, 0, 2, 1, 0, 1, 2, 0, 2, 1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 1, 0]"
7,random graphs/triangle/r1.5k18n12/graph7.lgbin,2676,211,10,12,"[0, 2, 2, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 2, 1, 1, 5, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 3, 3, 1, 2, 2, 3, 3, 2, 2, 1, 0, 3, 1, 1, 3, 3, 3, 1, 0, 2, 3, 1, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 0, 4, 2, 2, 0, 1, 2, 1, 2, 2, 1, 1, 2, 3, 1, 0, 0, 1, 0, 2, 1, 3, 2, 0, 2, 1, 3, 1, 0, 2, 1, 1, 2, 1, 5, 1, 0, 0, 1, 1, 1, 1, 1, 1, 4, 1, 0, 2, 0, 1, 0, 2, 3, 3, 1, 2, 2, 2, 1, 0, 5, 5, 2, 2, 3, 6, 0, 4, 2, 4, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2]"
8,random graphs/triangle/r1.5k18n12/graph8.lgbin,2676,122,8,14,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 3, 3, 2, 2, 1, 3, 3, 2, 1, 3, 3, 2, 3, 1, 2, 3, 3, 2, 1, 2, 1, 1, 2, 3, 1, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 3, 3, 3, 1, 3, 2, 1, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 6, 1, 3, 1, 1, 0, 3, 3, 3, 3, 1, 2, 4, 6, 1, 4, 1, 1, 3, 4, 3, 1, 2, 2, 3, 2, 3, 4, 2, 3, 1, 2, 4, 1, 5, 3, 3, 2, 5, 3, 1, 6, 2, 3, 4, 5, 3, 7, 3, 2, 2, 6, 5, 2, 2, 2, 2, 3, 1, 2, 1, 4, 5, 3, 2, 3, 3, 1, 2, 2, 4, 5, 2, 4, 4, 4, 4, 1, 1, 5, 3, 1, 2, 1, 4, 2, 3, 3, 3, 4, 4, 3, 2, 1, 3, 3]"
9,random graphs/triangle/r1.5k18n12/graph9.lgbin,2676,108,12,15,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 4, 2, 2, 2, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 1, 2, 3, 2, 0, 1, 2, 3, 1, 2, 1, 4, 3, 1, 6, 1, 2, 4, 1, 5, 1, 1, 1, 2, 3, 3, 1, 2, 3, 1, 1, 3, 2, 5, 1, 3, 3, 2, 3, 3, 3, 5, 3, 3, 4, 0, 3, 1, 1, 1, 3, 2, 3, 6, 3, 2, 2, 0, 5, 5, 2, 3, 1, 2, 1, 2, 3, 4, 1, 3, 5, 2, 1, 2, 1, 1, 2, 1, 4, 6, 1, 3, 4, 2, 2, 1, 1, 1, 4, 1, 3, 4, 1, 1, 2, 1, 2, 3, 2, 1, 3, 2, 2, 1, 3, 3, 3, 5, 1, 1, 3, 2, 1, 1, 3, 1, 3, 1, 2, 2, 3, 1, 1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 2, 3, 1]"
