Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
0,Rome-Lib/graficon12nodi/grafo2359.12,12,16,1,47,60,123,304,3,0.006,0.0044,1,0.008
1,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,99,174,0,0.005,0.0028,1,0.005
2,Rome-Lib/graficon10nodi/grafo265.10,10,12,1,15,17,44,48,1,0.002,0.0007,0,0.002
3,north/g.17.12.graphml,17,17,0,92,1,110,730,0,0.008,0.011,0,0.017
4,Rome-Lib/graficon15nodi/grafo1883.15,15,17,0,40,43,100,214,0,0.005,0.0031,1,0.006
5,Rome-Lib/graficon14nodi/grafo843.14,14,15,0,32,16,63,122,0,0.004,0.002,1,0.003
6,north/g.13.83.graphml,13,13,0,6,3,22,8,0,0.001,0.0001,0,0.001
7,Rome-Lib/graficon11nodi/grafo1131.11,11,13,0,22,18,53,84,0,0.004,0.0013,1,0.003
8,Rome-Lib/graficon13nodi/grafo2313.13,13,18,0,16,15,49,44,0,0.001,0.0007,0,0.001
9,Rome-Lib/graficon15nodi/grafo585.15,15,19,0,38,34,91,166,0,0.005,0.0029,1,0.005
10,Rome-Lib/graficon12nodi/grafo2651.12,12,12,1,11,12,35,30,2,0.002,0.0004,0,0.001
11,north/g.12.123.graphml,12,12,0,9,2,23,12,0,0.001,0.0002,0,0.001
12,Rome-Lib/graficon16nodi/grafo2142.16,16,17,0,23,20,60,72,0,0.002,0.001,0,0.003
13,north/g.16.62.graphml,16,16,0,91,0,107,728,0,0.008,0.0113,0,0.017
14,Rome-Lib/graficon10nodi/grafo869.10,10,12,0,6,3,21,8,0,0.001,0.0001,0,0.001
15,Rome-Lib/graficon12nodi/grafo906.12,12,12,0,5,2,19,4,0,0.001,0.0001,0,0.0
16,Rome-Lib/graficon13nodi/grafo559.13,13,19,0,18,16,53,54,0,0.002,0.0008,0,0.002
17,north/g.11.61.graphml,11,12,0,31,5,48,124,0,0.004,0.002,0,0.004
18,north/g.15.49.graphml,15,16,0,16,11,43,36,0,0.001,0.0006,0,0.002
19,Rome-Lib/graficon12nodi/grafo2458.12,12,17,0,22,22,61,70,1,0.002,0.0011,1,0.003
20,Rome-Lib/graficon17nodi/grafo2615.17,17,17,0,9,6,32,18,0,0.001,0.0003,0,0.001
21,Rome-Lib/graficon15nodi/grafo735.15,15,15,0,14,12,41,36,0,0.003,0.0006,1,0.002
22,Rome-Lib/graficon11nodi/grafo2946.11,11,13,0,8,7,28,18,0,0.001,0.0002,0,0.001
23,north/g.11.28.graphml,11,13,0,16,8,37,40,0,0.002,0.0006,0,0.001
24,north/g.11.55.graphml,11,13,0,14,4,31,30,0,0.002,0.0005,0,0.001
25,Rome-Lib/graficon15nodi/grafo2783.15,15,19,0,28,25,72,102,1,0.003,0.0014,0,0.003
26,Rome-Lib/graficon15nodi/grafo391.15,15,24,0,64,68,156,368,2,0.008,0.0058,1,0.01
