Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
0,Rome-Lib/graficon12nodi/grafo2359.12,12,16,1,94,120,230,527,3,0.01,0.0077,1,0.009
1,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,74,86,179,340,0,0.007,0.0046,1,0.006
2,Rome-Lib/graficon10nodi/grafo265.10,10,12,1,30,34,76,110,1,0.003,0.0012,0,0.003
3,north/g.17.12.graphml,17,17,0,184,2,203,825,0,0.013,0.0187,0,0.014
4,Rome-Lib/graficon15nodi/grafo1883.15,15,17,0,80,86,183,383,0,0.008,0.0058,1,0.007
5,Rome-Lib/graficon14nodi/grafo843.14,14,15,0,64,32,111,202,0,0.006,0.0035,1,0.004
6,north/g.13.83.graphml,13,13,0,12,6,31,23,0,0.002,0.0003,0,0.001
7,Rome-Lib/graficon11nodi/grafo1131.11,11,13,0,44,36,93,160,0,0.003,0.0021,0,0.004
8,Rome-Lib/graficon13nodi/grafo2313.13,13,18,0,32,30,80,105,0,0.003,0.0012,0,0.002
9,Rome-Lib/graficon15nodi/grafo585.15,15,19,0,76,68,163,306,0,0.007,0.0049,1,0.007
10,Rome-Lib/graficon12nodi/grafo2651.12,12,12,1,22,24,58,73,2,0.002,0.0008,0,0.001
11,north/g.12.123.graphml,12,12,0,18,4,34,27,0,0.001,0.0005,0,0.001
12,Rome-Lib/graficon16nodi/grafo2142.16,16,17,0,46,40,103,155,0,0.003,0.0019,0,0.003
13,north/g.16.62.graphml,16,16,0,182,0,198,819,0,0.014,0.0188,0,0.014
14,Rome-Lib/graficon10nodi/grafo869.10,10,12,0,12,6,30,23,0,0.002,0.0003,0,0.001
15,Rome-Lib/graficon12nodi/grafo906.12,12,12,0,10,4,26,15,0,0.001,0.0002,0,0.001
16,Rome-Lib/graficon13nodi/grafo559.13,13,19,0,36,32,87,120,0,0.005,0.0015,1,0.003
17,north/g.11.61.graphml,11,12,0,62,10,84,170,0,0.005,0.0034,0,0.004
18,north/g.15.49.graphml,15,16,0,32,22,70,85,0,0.003,0.0011,0,0.002
19,Rome-Lib/graficon12nodi/grafo2458.12,12,17,0,44,44,105,158,1,0.003,0.0018,0,0.003
20,Rome-Lib/graficon17nodi/grafo2615.17,17,17,0,18,12,47,45,0,0.002,0.0005,0,0.001
21,Rome-Lib/graficon15nodi/grafo735.15,15,15,0,28,24,67,86,0,0.002,0.001,0,0.002
22,Rome-Lib/graficon11nodi/grafo2946.11,11,13,0,16,14,43,47,0,0.003,0.0005,1,0.002
23,north/g.11.28.graphml,11,13,0,32,16,61,80,0,0.003,0.0012,0,0.002
24,north/g.11.55.graphml,11,13,0,28,8,49,56,0,0.002,0.001,0,0.002
25,Rome-Lib/graficon15nodi/grafo2783.15,15,19,0,56,50,125,205,1,0.004,0.0029,1,0.004
26,Rome-Lib/graficon15nodi/grafo391.15,15,24,0,128,136,288,636,2,0.012,0.0101,1,0.012
27,north/g.19.23.graphml,19,21,0,42,38,101,136,0,0.005,0.0016,0,0.003
28,Rome-Lib/graficon17nodi/grafo385.17,17,28,1,122,164,314,633,4,0.012,0.0094,1,0.011
29,north/g.16.80.graphml,16,27,0,84,110,221,395,1,0.009,0.0054,1,0.007
30,Rome-Lib/graficon15nodi/grafo1124.15,15,23,0,82,74,179,310,0,0.005,0.0047,1,0.006
31,Rome-Lib/graficon23nodi/grafo2499.23,23,27,0,112,126,265,535,1,0.011,0.0083,1,0.01
32,Rome-Lib/graficon17nodi/grafo459.17,17,27,0,146,162,335,732,0,0.011,0.0113,1,0.013
33,Rome-Lib/graficon19nodi/grafo1897.19,19,24,0,142,124,290,669,0,0.012,0.0121,1,0.015
34,north/g.18.24.graphml,18,23,2,86,102,211,384,4,0.007,0.0056,1,0.009
35,Rome-Lib/graficon15nodi/grafo518.15,15,21,0,56,46,123,187,0,0.006,0.0029,1,0.005
36,Rome-Lib/graficon25nodi/grafo1586.25,25,29,0,172,206,407,951,0,0.015,0.015,1,0.016
37,north/g.18.8.graphml,18,28,0,146,160,334,729,0,0.015,0.0128,1,0.016
38,Rome-Lib/graficon16nodi/grafo2933.16,16,20,0,84,88,192,396,0,0.009,0.0062,1,0.007
39,north/g.11.29.graphml,11,23,0,140,190,353,857,6,0.015,0.0134,1,0.014
40,Rome-Lib/graficon18nodi/grafo706.18,18,27,1,176,190,393,971,1,0.014,0.016,1,0.016
41,north/g.25.49.graphml,25,26,0,164,172,362,862,0,0.013,0.0139,1,0.015
42,Rome-Lib/graficon12nodi/grafo2144.12,12,28,1,128,152,308,636,3,0.01,0.01,1,0.012
43,north/g.17.8.graphml,17,27,0,144,116,287,662,0,0.011,0.0117,1,0.012
44,north/g.19.20.graphml,19,22,0,68,50,140,241,0,0.005,0.0038,1,0.005
