Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1652,542,8,11,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 3, 1, 1, 1, 1, 0, 2, 1, 1, 2, 3, 1, 3, 2, 1, 2, 1, 3, 2, 1, 4, 2, 3, 4, 1, 1, 5, 2, 3, 3, 3, 4, 5, 4, 4, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 2, 2, 3, 1, 2, 1, 0, 3, 2, 1, 2, 1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 0, 3, 1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 2, 1, 2, 2, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 2, 2, 1, 1, 1, 3, 3, 1, 2, 4, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1652,465,4,9,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 3, 0, 3, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 1, 1, 4, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 2, 1, 3, 3, 3, 1, 3, 3, 4, 3, 3, 3, 2, 1, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1652,391,7,8,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 2, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 0, 1, 3, 1, 2, 0, 1, 3, 3, 1, 1, 3, 1, 1, 0, 0, 3, 3, 3, 1, 1, 0, 1, 1, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 2, 0, 3, 2, 1, 2, 1, 2, 3, 1, 2, 2, 0, 1, 1, 0, 2, 1, 2, 2, 1, 0, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 2, 3, 3, 2, 2, 2, 2, 1, 2, 0, 1, 1, 3, 3, 2, 1, 3, 2, 3, 1, 2, 1, 0, 2, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1652,499,5,9,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 1, 4, 4, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1652,320,5,7,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 3, 1, 2, 2, 3, 0, 2, 2, 1, 0, 1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1652,237,6,7,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 2, 1, 2, 1, 0, 2, 2, 0, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2, 2, 3, 1, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 2, 0, 2, 1, 1, 0, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 3, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 3, 3, 3, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1652,534,9,10,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 0, 0, 2, 1, 1, 3, 2, 2, 3, 3, 3, 0, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2, 2, 1, 4, 3, 2, 2, 3, 2, 1, 3, 3, 3, 2, 1, 2, 2, 2, 3, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 3, 2, 2, 3, 2, 3, 1, 3, 0, 3, 3, 0, 4, 2, 1, 3, 2, 2, 3, 3, 3, 3, 3, 2, 4, 2, 3, 3, 4, 4, 4, 1, 1, 3, 3, 3, 2, 3, 2, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1652,364,11,13,"[2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 1, 4, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 4, 2, 2, 2, 1, 4, 2, 2, 2, 0, 4, 5, 5, 4, 2, 5, 4, 3, 4, 4, 4, 4, 3, 5, 4, 3, 3, 5, 4, 5, 5, 5, 3, 5, 3, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 4, 3, 3, 3, 4, 2, 3, 3, 2, 1, 3, 3, 1, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 1, 3, 3, 2, 2, 3, 2, 3, 2, 1, 2, 3, 3, 2, 3, 4, 1, 2, 2, 3, 4, 4, 3, 4, 2, 3, 3, 4, 4, 3, 4, 4, 3, 3, 1, 0, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 0, 1, 3, 3, 3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1652,375,8,11,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 3, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 1, 5, 3, 4, 3, 4, 2, 3, 3, 2, 2, 3, 1, 3, 1, 1, 2, 2, 1, 2, 2, 3, 3, 1, 1, 1, 3, 1, 3, 1, 2, 1, 2, 1, 2, 1, 3, 0, 3, 3, 5, 2, 1, 1, 2, 3, 3, 2, 0, 1, 0, 3, 3, 3, 2, 0, 0, 1, 2, 1, 4, 4, 3, 3, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 2, 0, 1, 1, 2, 2, 3, 3, 1, 3, 2, 3, 2, 2, 3, 2, 3, 3, 3, 4, 3, 2, 2, 2, 3, 3, 3, 2, 1, 2, 1, 1, 2, 2, 0, 1, 0, 0, 0, 1, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1652,340,5,7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 1, 2, 1, 3, 2, 2, 0, 1, 2, 0, 1, 3, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 3, 0, 2, 3, 1, 3, 2, 0, 0, 2, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 3, 3, 2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
