Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
10,random graphs/ratio_d3/r1.5k18n12/graph10.lgbin,1715,524,9,12,"[1, 2, 1, 2, 1, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 3, 2, 0, 3, 4, 2, 1, 2, 1, 4, 4, 0, 3, 2, 4, 2, 1, 2, 1, 2, 5, 2, 3, 1, 5, 4, 4, 3, 3, 2, 3, 1, 1, 2, 4, 3, 3, 1, 2, 2, 5, 5, 4, 3, 5, 1, 4, 2, 1, 2, 4, 4, 2, 3, 4, 1, 1, 3, 0, 4, 2, 5, 3, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 2, 3, 1, 4, 2, 3, 3, 3, 2, 3, 3, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 1, 1, 3, 3, 1, 2, 1, 2, 1, 2, 1, 2, 0, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
11,random graphs/ratio_d3/r1.5k18n12/graph11.lgbin,1715,323,7,11,"[1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 2, 1, 1, 1, 0, 2, 0, 1, 2, 0, 1, 2, 1, 1, 1, 2, 1, 2, 2, 0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 3, 1, 0, 0, 3, 1, 2, 4, 1, 1, 2, 4, 2, 1, 1, 3, 3, 3, 1, 3, 0, 2, 3, 0, 4, 2, 2, 1, 1, 2, 2, 1, 3, 1, 2, 2, 3, 2, 0, 2, 2, 3, 2, 2, 2, 2, 3, 3, 0, 2, 1, 1, 0, 1, 1, 3, 3, 0, 1, 1, 1, 2, 3, 3, 2, 1, 3, 4, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 3, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
12,random graphs/ratio_d3/r1.5k18n12/graph12.lgbin,1715,764,6,11,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 1, 4, 2, 1, 1, 1, 4, 0, 1, 1, 0, 0, 1, 3, 3, 3, 3, 1, 3, 2, 1, 3, 3, 3, 1, 2, 0, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 0, 2, 2, 0, 1, 0, 3, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,random graphs/ratio_d3/r1.5k18n12/graph13.lgbin,1715,264,5,8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 3, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 2, 3, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2, 1, 2, 3, 0, 1, 3, 0, 2, 1, 2, 0, 3, 1, 1, 0, 2, 2, 1, 3, 1, 1, 2, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 2, 2, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
14,random graphs/ratio_d3/r1.5k18n12/graph14.lgbin,1715,433,8,11,"[1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 0, 2, 0, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 0, 1, 1, 2, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 0, 3, 3, 4, 2, 3, 4, 3, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 0, 2, 2, 2, 2, 3, 4, 3, 3, 1, 1, 0, 0, 2, 4, 4, 1, 1, 2, 1, 1, 1, 1, 3, 2, 3, 1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2]"
15,random graphs/ratio_d3/r1.5k18n12/graph15.lgbin,1715,115,6,9,"[0, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 2, 1, 0, 1, 3, 1, 1, 3, 1, 2, 2, 3, 1, 3, 0, 3, 3, 0, 2, 3, 3, 4, 1, 1, 4, 4, 4, 2, 0, 3, 4, 2, 2, 2, 3, 0, 2, 2, 2, 4, 1, 5, 3, 1, 1, 4, 2, 2, 2, 2, 3, 2, 3, 3, 2, 1, 1, 2, 3, 1, 2, 0, 1, 2, 1, 2, 2, 1, 0, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,random graphs/ratio_d3/r1.5k18n12/graph16.lgbin,1715,260,10,16,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 1, 1, 3, 1, 3, 1, 2, 1, 1, 1, 4, 2, 2, 4, 3, 1, 1, 1, 3, 3, 0, 3, 1, 0, 3, 2, 4, 2, 3, 1, 3, 3, 2, 4, 3, 2, 0, 1, 3, 2, 2, 0, 4, 4, 2, 2, 2, 2, 4, 1, 2, 1, 2, 5, 1, 2, 4, 3, 1, 2, 1, 1, 2, 4, 3, 2, 3, 3, 1, 2, 2, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 3, 6, 5, 5, 1, 3, 2, 3, 0, 1, 2, 4, 2, 4, 4, 4, 0, 4, 2, 1, 1, 1, 1, 0, 1, 0, 1, 3, 3, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
17,random graphs/ratio_d3/r1.5k18n12/graph17.lgbin,1715,242,8,15,"[1, 1, 0, 2, 0, 1, 1, 1, 0, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 0, 2, 2, 1, 0, 2, 1, 1, 2, 1, 2, 1, 1, 2, 5, 2, 1, 1, 4, 2, 0, 4, 3, 2, 2, 1, 0, 1, 0, 1, 2, 1, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 3, 2, 3, 1, 2, 1, 2, 3, 2, 2, 2, 0, 2, 2, 2, 2, 2, 4, 5, 3, 2, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1, 2, 1, 1, 1, 0, 0, 2, 4, 1, 2, 2, 1, 2, 1, 1, 0, 0, 2, 3, 3, 4, 4, 3, 3, 3, 2, 3, 1, 0, 4, 2, 1, 2, 3, 4, 4, 4, 1, 4, 2, 2, 2, 2, 2, 1, 3, 2, 1, 1, 3, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1]"
18,random graphs/ratio_d3/r1.5k18n12/graph18.lgbin,1715,394,6,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 3, 1, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 4, 2, 4, 2, 1, 4, 4, 1, 3, 2, 3, 2, 3, 1, 6, 1, 2, 2, 2, 3, 1, 3, 1, 1, 4, 2, 3, 5, 1, 2, 2, 2, 1, 0, 3, 4, 4, 1, 3, 3, 2, 2, 2, 3, 3, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 4, 1, 3, 1, 2, 1, 5, 2, 1, 1, 1, 3, 1, 0, 1, 2, 2, 2, 1, 2, 0, 1, 1, 1, 2, 0]"
19,random graphs/ratio_d3/r1.5k18n12/graph19.lgbin,1715,265,11,17,"[3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 2, 1, 2, 1, 3, 3, 3, 3, 3, 3, 0, 3, 3, 2, 3, 2, 4, 3, 6, 3, 2, 0, 2, 3, 2, 3, 2, 3, 3, 3, 1, 3, 3, 4, 3, 4, 5, 3, 6, 1, 4, 2, 6, 5, 3, 2, 1, 2, 3, 1, 6, 2, 3, 3, 3, 1, 3, 3, 4, 5, 5, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 2, 5, 1, 2, 3, 2, 2, 1, 3, 1, 1, 3, 3, 2, 1, 4, 2, 2, 4, 3, 4, 4, 4, 5, 3, 4, 3, 1, 3, 3, 2, 2, 3, 0, 2, 4, 2, 3, 3, 4, 4, 4, 4, 2, 5, 4, 6, 4, 1, 4, 2, 2, 2, 3, 2, 2, 3, 3, 1, 1, 2, 1, 2, 3, 1, 1, 3, 1, 1, 3, 3, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]"
20,random graphs/ratio_d3/r1.5k18n12/graph20.lgbin,1715,405,9,12,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 2, 3, 3, 2, 2, 1, 2, 3, 1, 1, 3, 3, 4, 1, 1, 2, 2, 2, 2, 2, 2, 1, 0, 2, 4, 2, 2, 2, 1, 3, 1, 1, 0, 1, 1, 2, 3, 0, 3, 1, 1, 2, 2, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 2, 1, 1, 2, 2, 1, 2, 4, 1, 3, 2, 2, 4, 1, 0, 1, 4, 1, 0, 2, 3, 1, 0, 1, 2, 1, 2, 3, 1, 1, 2, 1, 1, 0, 1, 3, 2, 1, 0, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 0, 0, 1, 0, 1, 1]"
