Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1652,627,7,9,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 1, 2, 2, 2, 4, 3, 2, 3, 1, 2, 2, 1, 1, 2, 0, 1, 1, 1, 2, 2, 0, 3, 2, 3, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 3, 2, 1, 1, 2, 1, 2, 2, 1, 1, 3, 1, 2, 3, 3, 2, 3, 1, 3, 1, 1, 0, 2, 1, 0, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 3, 4, 1, 2, 1, 1, 1, 0, 4, 1, 1, 4, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1652,488,6,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 1, 2, 3, 1, 3, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 0, 1, 2, 1, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 3, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 2, 2, 2, 2, 3, 1, 2, 3, 3, 3, 1, 1, 2, 2, 3, 0, 3, 2, 3, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 3, 3, 1, 2, 3, 2, 3, 3, 2, 2, 3, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1652,375,7,9,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 2, 2, 2, 0, 1, 1, 3, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 0, 2, 1, 2, 0, 2, 2, 2, 0, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 4, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 0, 3, 1, 4, 2, 1, 3, 4, 3, 2, 1, 2, 2, 2, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1652,738,8,9,"[1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 1, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 3, 2, 2, 1, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 4, 2, 3, 3, 4, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 4, 2, 2, 2, 2, 1, 2, 1, 1, 3, 1, 3, 1, 1, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1652,347,6,8,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 1, 0, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 2, 3, 1, 4, 3, 4, 4, 4, 2, 2, 2, 1, 2, 1, 0, 1, 0, 2, 3, 2, 1, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 3, 3, 2, 5, 3, 4, 3, 3, 5, 3, 4, 2, 3, 3, 3, 5, 4, 4, 3, 3, 3, 4, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1652,228,8,11,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 3, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 3, 1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 2, 1, 1, 2, 3, 3, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 4, 3, 3, 2, 3, 4, 3, 4, 1, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 3, 2, 2, 3, 3, 2, 1, 3, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 3, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1652,799,7,8,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 1, 3, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 3, 2, 1, 3, 1, 2, 3, 1, 0, 3, 0, 2, 0, 1, 2, 3, 1, 3, 0, 1, 2, 1, 1, 1, 1, 2, 0, 2, 1, 0, 1, 2, 1, 0, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 2, 0, 3, 2, 0, 3, 1, 1, 1, 2, 3, 3, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 3, 2, 3, 1, 1, 1, 1, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 2, 2, 0, 2, 1, 2, 2, 2, 1, 2, 3, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1652,164,6,7,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 2, 3, 2, 1, 3, 3, 1, 1, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 3, 2, 3, 2, 3, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 2, 1, 0, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1652,348,7,10,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 2, 2, 4, 1, 2, 1, 2, 3, 1, 4, 1, 3, 3, 2, 2, 3, 1, 2, 0, 3, 2, 2, 2, 1, 2, 2, 3, 4, 2, 2, 1, 0, 2, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 2, 4, 4, 4, 3, 2, 2, 3, 3, 4, 3, 2, 2, 4, 3, 3, 4, 3, 3, 4, 2, 3, 2, 1, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 2, 1, 3, 2, 3, 1, 3, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1652,291,6,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 1, 2, 1, 2, 1, 1, 2, 1, 1, 3, 2, 2, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 2, 3, 2, 0, 3, 0, 1, 3, 1, 1, 0, 3, 2, 0, 0, 1, 0, 1, 1, 1, 2, 2, 2, 3, 2, 3, 4, 2, 3, 2, 2, 3, 3, 3, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
