Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1589,381,8,16,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 3, 1, 2, 0, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 2, 2, 2, 1, 3, 2, 1, 2, 3, 2, 3, 1, 1, 2, 2, 1, 2, 3, 0, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 3, 3, 1, 4, 2, 2, 1, 5, 1, 2, 0, 1, 1, 1, 1, 0, 3, 3, 2, 0, 2, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 2, 2, 0, 1, 0, 3, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 2, 1, 1, 3, 2, 4, 1, 4, 3, 3, 5, 3, 7, 0, 1, 4, 4, 0, 1, 2, 1, 3, 3, 4, 4, 5, 3, 4, 3, 5, 2, 5, 4, 5, 4, 2, 2, 4, 4, 3, 3, 3, 4, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 4, 3, 3, 2, 4, 4, 3, 2, 1, 2, 3, 2, 2, 2, 2, 2]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1589,562,12,17,"[1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 2, 1, 2, 1, 0, 2, 1, 1, 2, 2, 2, 0, 0, 2, 2, 1, 3, 1, 0, 1, 1, 0, 1, 1, 4, 2, 2, 3, 2, 1, 6, 1, 1, 4, 4, 2, 3, 4, 1, 2, 2, 1, 3, 1, 2, 1, 4, 3, 3, 2, 2, 1, 1, 4, 3, 2, 2, 2, 1, 2, 2, 2, 1, 5, 2, 1, 2, 3, 4, 2, 3, 1, 4, 1, 3, 1, 4, 4, 4, 4, 1, 1, 2, 2, 2, 3, 2, 0, 1, 3, 3, 0, 4, 4, 2, 4, 1, 4, 1, 1, 1, 0, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 3, 1, 1, 0, 0, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 3, 1, 2, 2, 1, 0, 1, 1, 1, 2, 2, 2, 1, 0, 2, 1, 0, 0, 1, 0, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1589,460,9,11,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 2, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 3, 4, 0, 2, 1, 0, 3, 2, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 0, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1, 2, 1, 1, 4, 2, 1, 1, 0, 1, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 0, 0, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 0, 1, 2, 1, 2, 0, 1, 1, 0, 2, 1, 0, 1, 1, 1, 1, 2, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1589,1124,7,12,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 1, 2, 2, 1, 2, 0, 2, 2, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 0, 2, 2, 3, 2, 2, 2, 1, 3, 2, 2, 2, 0, 2, 2, 0, 3, 2, 1, 4, 2, 0, 4, 1, 1, 4, 2, 4, 2, 4, 1, 0, 2, 3, 4, 6, 0, 2, 1, 2, 1, 1, 1, 1, 0, 2, 1, 0, 0, 2, 1, 1, 0, 3, 1, 1, 1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 2, 1, 1, 0, 3, 2, 2, 2, 1, 2, 1, 1, 2, 0, 2, 2, 2, 2, 0, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 3, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1589,562,7,10,"[1, 0, 1, 0, 2, 2, 1, 4, 2, 0, 2, 2, 2, 2, 0, 1, 0, 3, 2, 2, 2, 1, 4, 3, 1, 3, 2, 4, 3, 2, 4, 3, 3, 2, 1, 2, 3, 1, 3, 2, 1, 3, 2, 4, 1, 3, 2, 2, 1, 3, 4, 2, 4, 5, 2, 2, 2, 1, 1, 1, 1, 2, 0, 2, 1, 2, 2, 2, 3, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 2, 3, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 4, 1, 1, 2, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 3, 1, 2, 2, 4, 2, 3, 3, 2, 2, 3, 0, 3, 2, 1, 2, 3, 1, 2, 2, 1, 2, 3, 1, 2, 2, 3, 2, 3, 2, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1589,315,7,12,"[1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 0, 1, 1, 2, 2, 1, 3, 2, 1, 2, 1, 1, 0, 2, 3, 2, 2, 3, 3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 3, 2, 1, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 3, 1, 1, 1, 0, 2, 1, 2, 2, 3, 1, 2, 1, 0, 1, 1, 2, 2, 2, 1, 3, 0, 2, 2, 1, 1, 1, 1, 2, 1, 3, 3, 0, 2, 2, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 2, 2, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1589,819,9,12,"[2, 2, 0, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 3, 2, 1, 1, 3, 2, 2, 2, 0, 1, 1, 1, 1, 3, 3, 1, 1, 1, 2, 3, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 0, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 1, 3, 2, 1, 1, 1, 3, 2, 3, 2, 1, 2, 1, 1, 3, 3, 2, 2, 4, 3, 2, 2, 2, 1, 3, 3, 2, 3, 3, 3, 3, 2, 3, 1, 1, 3, 2, 2, 1, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1589,458,7,15,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 2, 1, 1, 2, 0, 3, 1, 2, 1, 2, 2, 1, 2, 2, 2, 3, 1, 2, 4, 0, 1, 2, 2, 2, 2, 4, 2, 2, 3, 2, 2, 0, 1, 1, 2, 1, 2, 0, 3, 2, 3, 3, 0, 1, 2, 3, 4, 4, 2, 3, 0, 2, 1, 2, 0, 1, 0, 1, 0, 1, 1, 2, 3, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 2, 2, 0, 2, 0, 1, 0, 1, 3, 1, 1, 4, 2, 2, 1, 1, 3, 3, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 1, 2, 2, 1, 0, 2, 2, 1, 2, 2, 0, 1, 2, 0, 1, 0, 1, 1]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1589,503,9,14,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 3, 1, 2, 2, 2, 3, 3, 2, 2, 3, 0, 1, 2, 2, 1, 2, 2, 3, 2, 1, 1, 1, 0, 0, 2, 1, 2, 1, 2, 2, 1, 0, 1, 0, 2, 0, 3, 2, 3, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 3, 2, 1, 3, 2, 3, 2, 1, 2, 2, 1, 3, 3, 0, 5, 2, 2, 0, 2, 4, 3, 3, 4, 2, 1, 2, 3, 1, 3, 1, 1, 2, 0, 3, 2, 3, 3, 3, 2, 1, 3, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 2, 3, 3, 3, 3, 2, 3, 1, 1, 0, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1589,365,7,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 1, 2, 1, 0, 1, 0, 1, 1, 3, 1, 3, 0, 1, 2, 3, 1, 0, 1, 1, 3, 1, 2, 1, 3, 2, 1, 2, 2, 2, 1, 2, 1, 1, 0, 2, 2, 4, 2, 2, 1, 1, 4, 1, 3, 1, 2, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 0, 1, 2, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 3, 1, 2, 2, 1, 2, 0, 1, 1, 2, 1, 1, 2, 3, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
