0,Rome-Lib/graficon12nodi/grafo2359.12,12,16,1,94,120,230,339,4,0.012,0.0057,1,0.01
1,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,74,86,179,252,0,0.008,0.0037,1,0.008
2,Rome-Lib/graficon10nodi/grafo265.10,10,12,1,30,34,76,92,2,0.003,0.0011,0,0.003
3,north/g.17.12.graphml,17,17,0,184,2,203,97,0,0.009,0.0084,0,0.009
4,Rome-Lib/graficon15nodi/grafo1883.15,15,17,0,80,86,183,255,0,0.004,0.0035,0,0.009
5,Rome-Lib/graficon14nodi/grafo843.14,14,15,0,64,32,111,112,0,0.004,0.0024,0,0.006
6,north/g.13.83.graphml,13,13,0,12,6,31,21,0,0.001,0.0003,0,0.002
7,Rome-Lib/graficon11nodi/grafo1131.11,11,13,0,44,36,93,112,0,0.004,0.0017,0,0.005
8,Rome-Lib/graficon13nodi/grafo2313.13,13,18,0,32,30,80,91,0,0.002,0.0011,0,0.004
9,Rome-Lib/graficon15nodi/grafo585.15,15,19,0,76,68,163,208,0,0.01,0.0038,1,0.013
10,Rome-Lib/graficon12nodi/grafo2651.12,12,12,1,22,24,58,63,3,0.003,0.0008,0,0.003
11,north/g.12.123.graphml,12,12,0,18,4,34,19,0,0.002,0.0004,0,0.001
12,Rome-Lib/graficon16nodi/grafo2142.16,16,17,0,46,40,103,123,0,0.006,0.0018,1,0.005
13,north/g.16.62.graphml,16,16,0,182,0,198,91,0,0.001,0.0005,0,0.008
14,Rome-Lib/graficon10nodi/grafo869.10,10,12,0,12,6,30,21,0,0.002,0.0003,0,0.001
15,Rome-Lib/graficon12nodi/grafo906.12,12,12,0,10,4,26,15,0,0.001,0.0002,0,0.002
16,Rome-Lib/graficon13nodi/grafo559.13,13,19,0,36,32,87,98,0,0.005,0.0015,1,0.004
17,north/g.11.61.graphml,11,12,0,62,10,84,56,0,0.005,0.0026,1,0.004
18,north/g.15.49.graphml,15,16,0,32,22,70,71,0,0.001,0.0002,0,0.004
19,Rome-Lib/graficon12nodi/grafo2458.12,12,17,0,44,44,105,132,1,0.004,0.0018,1,0.004
20,Rome-Lib/graficon17nodi/grafo2615.17,17,17,0,18,12,47,39,0,0.003,0.0005,0,0.003
21,Rome-Lib/graficon15nodi/grafo735.15,15,15,0,28,24,67,74,0,0.004,0.001,0,0.003
22,Rome-Lib/graficon11nodi/grafo2946.11,11,13,0,16,14,43,43,0,0.002,0.0005,0,0.003
23,north/g.11.28.graphml,11,13,0,32,16,61,56,0,0.003,0.001,0,0.003
24,north/g.11.55.graphml,11,13,0,28,8,49,34,0,0.002,0.0008,0,0.003
25,Rome-Lib/graficon15nodi/grafo2783.15,15,19,0,56,50,125,153,1,0.008,0.0026,1,0.005
26,Rome-Lib/graficon15nodi/grafo391.15,15,24,0,128,136,288,404,2,0.011,0.007,1,0.012
27,north/g.19.23.graphml,19,21,0,42,38,101,116,0,0.007,0.0017,1,0.013
28,Rome-Lib/graficon17nodi/grafo385.17,17,28,1,122,164,314,463,5,0.009,0.0068,1,0.013
29,north/g.16.80.graphml,16,27,0,84,110,221,317,1,0.009,0.0044,1,0.01
