Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
44,random graphs/big_layer/r1.5k24n16/graph4.lgbin,2015,451,33,45,"[1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 3, 1, 2, 2, 1, 2, 3, 1, 2, 2, 3, 2, 1, 1, 2, 1, 3, 2, 1, 1, 3, 3, 1, 2, 7, 2, 3, 1, 1, 3, 1, 2, 2, 3, 5, 8, 4, 2, 1, 2, 3, 4, 2, 6, 6, 5, 3, 5, 4, 0, 5, 3, 0, 4, 4, 3, 5, 6, 4, 4, 4, 7, 3, 4, 3, 7, 4, 7, 8, 2, 2, 2, 2, 6, 3, 6, 7, 5, 4, 7, 8, 2, 6, 6, 1, 6, 2, 6, 1, 3, 3, 4, 3, 3, 2, 4, 2, 3, 3, 2, 2, 0, 3, 4, 4, 4, 5, 1, 3, 2, 0, 3, 1, 3, 1, 2, 3, 4, 4, 1, 2, 2, 2, 1, 3, 3, 3, 0, 3, 1, 1, 0, 1, 3, 1, 0, 2, 1, 2, 2, 1, 2, 3, 3, 1, 1, 2, 1, 3, 1, 1, 0, 3, 2, 3, 1, 2, 2, 0, 2, 2, 1, 2, 1, 1, 2, 0, 3, 3, 1, 1, 1, 2, 3, 2, 4, 2, 1, 2, 2, 1, 3, 5, 2, 3, 2, 2, 1, 1, 1, 0, 3, 4, 4, 1, 0, 2, 2, 1, 2, 3, 2, 0, 3, 1, 4, 3, 3, 2, 4, 2, 2, 3, 1, 1, 4, 1, 1, 2, 2, 1, 1, 4, 2, 4, 1, 3, 1, 5, 1, 2, 2, 1, 4, 0, 4, 2, 1, 2, 0, 3, 2, 4, 5, 1, 2, 3, 2, 1, 4, 1, 0, 5, 2, 0, 0, 1, 1, 2, 3, 2, 5, 1, 1, 2, 2, 5, 1, 0, 3, 2, 4, 2, 1, 4, 1, 2, 3, 2, 2, 1, 2, 1, 2, 6, 0, 1, 3, 2, 1, 2, 3, 2, 1, 1, 2, 5, 1, 2, 0, 1, 3, 3, 3, 1, 2, 5, 0, 1, 0, 2, 3, 1, 1, 2, 3, 1, 2, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
45,random graphs/big_layer/r1.5k24n16/graph5.lgbin,2015,541,37,43,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 0, 2, 2, 1, 3, 1, 1, 1, 2, 2, 3, 5, 2, 3, 5, 3, 5, 1, 2, 2, 2, 1, 2, 5, 2, 2, 1, 3, 2, 1, 2, 5, 4, 1, 2, 4, 1, 4, 4, 0, 7, 1, 2, 3, 1, 2, 1, 4, 3, 1, 2, 3, 1, 3, 3, 1, 3, 2, 5, 5, 3, 1, 1, 4, 2, 2, 4, 1, 1, 3, 3, 3, 1, 2, 1, 4, 4, 1, 1, 3, 3, 1, 3, 2, 1, 3, 2, 3, 3, 2, 4, 2, 0, 3, 3, 2, 3, 1, 3, 2, 4, 3, 2, 3, 1, 6, 1, 1, 1, 2, 5, 3, 1, 3, 1, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 2, 4, 1, 1, 3, 4, 2, 1, 1, 2, 1, 5, 2, 1, 2, 2, 3, 2, 1, 2, 0, 1, 3, 1, 2, 2, 2, 2, 2, 2, 3, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 3, 1, 1, 2, 0, 1, 2, 1, 0, 3, 3, 1, 1, 1, 1, 0, 2, 1, 3, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 2, 1, 6, 3, 2, 1, 5, 2, 3, 3, 2, 2, 1, 3, 1, 0, 3, 3, 3, 5, 2, 1, 5, 2, 3, 2, 4, 0, 4, 1, 6, 8, 3, 3, 7, 3, 4, 1, 4, 2, 1, 2, 6, 4, 2, 2, 3, 4, 3, 2, 3, 7, 2, 3, 3, 3, 2, 2, 2, 8, 3, 1, 0, 1, 2, 3, 5, 0, 3, 3, 4, 4, 2, 1, 3, 2, 4, 1, 4, 4, 2, 2, 2, 2, 1, 5, 2, 4, 2, 4, 4, 2, 4, 3, 3, 5, 2, 1, 5, 4, 0, 1, 3, 3, 3, 4, 3, 3, 3, 2, 4, 3, 1, 1, 4, 2, 1, 3, 4, 3, 1, 3, 5, 4, 3, 1, 2, 4, 2, 4, 4, 2, 2, 2, 2, 4, 0, 3, 3, 1, 2, 4, 5, 1, 1, 4, 6, 6, 4, 6, 2, 1, 5, 1, 3, 3, 4, 3, 0, 1, 3, 4]"
46,random graphs/big_layer/r1.5k24n16/graph6.lgbin,2015,394,40,50,"[2, 1, 2, 3, 3, 0, 1, 3, 3, 4, 2, 2, 2, 2, 1, 3, 1, 3, 2, 0, 1, 3, 0, 4, 2, 4, 0, 1, 2, 2, 0, 2, 2, 2, 1, 4, 1, 2, 2, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 4, 2, 1, 3, 4, 3, 4, 1, 3, 3, 1, 2, 1, 1, 5, 2, 3, 4, 3, 2, 4, 1, 2, 4, 1, 2, 1, 4, 1, 2, 3, 3, 1, 2, 3, 3, 2, 1, 2, 1, 4, 3, 1, 1, 3, 1, 1, 2, 1, 1, 3, 2, 3, 3, 2, 4, 2, 2, 2, 1, 2, 1, 2, 3, 1, 3, 1, 1, 4, 1, 2, 1, 1, 1, 2, 2, 3, 3, 2, 5, 2, 2, 2, 2, 2, 2, 4, 1, 5, 2, 2, 2, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 0, 1, 2, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 1, 0, 2, 1, 2, 1, 1, 3, 2, 2, 1, 1, 5, 0, 2, 6, 2, 3, 3, 1, 1, 1, 1, 3, 4, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 4, 1, 1, 2, 2, 2, 3, 3, 1, 2, 2, 3, 2, 3, 2, 3, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 1, 2, 4, 3, 2, 2, 3, 2, 0, 1, 1, 2, 3, 2, 3, 3, 3, 4, 4, 3, 1, 4, 1, 3, 1, 3, 3, 6, 2, 3, 2, 7, 3, 2, 3, 2, 3, 1, 1, 1, 6, 2, 1, 2, 1, 2, 5, 2, 3, 7, 4, 9, 2, 5, 3, 4, 4, 2, 2, 1, 3, 2, 1, 3, 1, 1, 7, 3, 4, 2, 8, 3, 3, 3, 5, 3, 1, 2, 2, 5, 3, 5, 2, 1, 5, 5, 2, 8, 6, 4, 5, 1, 1, 4, 1, 5, 3, 3, 2, 5, 1, 2, 1, 1, 5, 4, 3, 3, 1, 1, 4, 2, 3, 2, 4, 3, 1, 1, 1, 4, 3, 3, 5, 3, 2, 4, 5, 2, 3, 6, 1, 2, 2, 2, 1, 1, 2, 1, 2, 4, 1, 3, 0, 2, 0, 1, 0, 3, 3, 1, 0, 2, 2, 1]"
47,random graphs/big_layer/r1.5k24n16/graph7.lgbin,2015,363,41,56,"[2, 2, 2, 2, 3, 3, 0, 3, 3, 5, 0, 3, 2, 2, 2, 3, 4, 3, 2, 1, 3, 2, 5, 4, 5, 5, 2, 2, 3, 1, 2, 3, 2, 5, 4, 5, 3, 3, 3, 2, 3, 5, 2, 4, 4, 3, 5, 6, 5, 5, 3, 3, 2, 3, 2, 4, 5, 5, 1, 1, 4, 2, 3, 4, 1, 3, 2, 3, 4, 1, 1, 5, 3, 5, 5, 2, 5, 7, 2, 2, 3, 2, 4, 5, 1, 4, 2, 5, 2, 4, 2, 4, 4, 2, 8, 1, 8, 4, 1, 1, 2, 1, 2, 2, 1, 2, 4, 2, 3, 1, 2, 3, 7, 6, 3, 3, 1, 3, 4, 4, 4, 3, 2, 3, 4, 2, 3, 2, 3, 5, 7, 4, 3, 3, 3, 6, 3, 2, 4, 2, 2, 0, 5, 6, 4, 2, 1, 2, 2, 2, 2, 4, 3, 4, 1, 1, 4, 2, 2, 3, 9, 2, 2, 4, 2, 2, 4, 3, 3, 2, 6, 2, 3, 2, 0, 2, 2, 0, 2, 3, 0, 4, 2, 2, 1, 3, 3, 2, 0, 4, 1, 0, 1, 1, 3, 3, 1, 2, 0, 1, 1, 1, 3, 2, 0, 1, 1, 1, 3, 1, 0, 2, 2, 1, 0, 3, 1, 2, 1, 3, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 0, 2, 0, 3, 2, 2, 2, 1, 2, 1, 4, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 0, 2, 1, 2, 2, 0, 2, 1, 0, 2, 2, 1, 3, 1, 4, 1, 4, 1, 5, 4, 2, 3, 4, 3, 3, 3, 2, 2, 1, 0, 4, 0, 3, 3, 1, 0, 3, 2, 2, 2, 3, 2, 1, 1, 4, 4, 1, 2, 2, 1, 0, 3, 1, 2, 2, 2, 2, 2, 3, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 4, 1, 1, 3, 2, 2, 1, 0, 1, 2, 2, 2, 2, 3, 3, 3, 1, 2, 3, 2, 3, 2, 3, 1, 3, 1, 2, 3, 1, 3, 1, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 1, 1, 2, 1, 2, 2, 0, 2, 1]"
48,random graphs/big_layer/r1.5k24n16/graph8.lgbin,2015,522,35,55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 2, 6, 3, 1, 1, 2, 2, 0, 3, 3, 2, 1, 1, 2, 4, 2, 2, 5, 4, 2, 1, 1, 2, 2, 2, 2, 4, 1, 1, 2, 4, 2, 2, 2, 1, 3, 1, 2, 2, 3, 2, 1, 4, 3, 2, 3, 2, 5, 2, 2, 1, 5, 2, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 3, 2, 3, 4, 2, 3, 3, 3, 1, 3, 1, 2, 2, 1, 2, 4, 3, 2, 1, 2, 2, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 0, 2, 2, 3, 2, 1, 3, 2, 4, 3, 3, 2, 2, 1, 4, 3, 1, 5, 1, 3, 1, 1, 6, 3, 3, 3, 2, 3, 7, 3, 1, 3, 6, 11, 6, 5, 5, 4, 6, 1, 3, 5, 3, 2, 1, 3, 5, 3, 2, 2, 1, 6, 2, 2, 3, 2, 6, 2, 3, 4, 4, 4, 13, 7, 2, 2, 1, 1, 2, 1, 1, 3, 5, 1, 2, 4, 3, 3, 4, 0, 3, 3, 4, 1, 2, 4, 1, 6, 3, 2, 0, 4, 0, 3, 2, 2, 2, 6, 3, 4, 5, 1, 1, 8, 1, 4, 5, 7, 3, 2, 2, 3, 8, 3, 6, 7, 3, 3, 3, 2, 2, 1, 3, 2, 6, 3, 0, 3, 3, 2, 4, 8, 4, 3, 4, 3, 2, 2, 1, 4, 1, 1, 1, 4, 0, 2, 2, 2, 3, 5, 1, 2, 1, 4, 6, 2, 1, 2, 2, 7, 2, 5, 1, 3, 0, 2, 1, 1, 1, 2, 1, 4, 2, 5, 1, 0, 2, 4, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 1, 1, 0, 0, 1, 2, 0, 1, 1, 1, 0, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 0, 2, 0, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 0, 1, 1, 2, 2, 1]"
49,random graphs/big_layer/r1.5k24n16/graph9.lgbin,2015,496,38,50,"[1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 0, 2, 3, 0, 3, 0, 1, 1, 2, 1, 1, 2, 2, 3, 2, 1, 0, 1, 1, 1, 0, 3, 1, 3, 0, 1, 3, 1, 1, 2, 3, 6, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 4, 2, 0, 1, 1, 1, 0, 1, 4, 1, 2, 1, 2, 1, 2, 5, 2, 3, 1, 0, 3, 2, 2, 3, 2, 2, 1, 3, 2, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 3, 1, 2, 2, 1, 1, 1, 3, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 2, 1, 1, 0, 2, 4, 1, 2, 1, 3, 2, 3, 2, 1, 2, 3, 3, 1, 1, 2, 1, 3, 1, 4, 4, 1, 5, 4, 1, 3, 5, 5, 5, 5, 1, 4, 3, 6, 5, 6, 3, 2, 1, 3, 1, 5, 1, 4, 3, 5, 4, 3, 0, 4, 2, 3, 4, 1, 6, 5, 6, 2, 2, 6, 1, 1, 3, 0, 3, 5, 2, 1, 2, 3, 4, 1, 7, 0, 3, 2, 3, 3, 2, 3, 0, 2, 6, 2, 1, 4, 1, 2, 2, 2, 1, 1, 2, 3, 3, 4, 2, 1, 3, 1, 2, 1, 2, 1, 3, 3, 1, 6, 1, 0, 1, 1, 3, 4, 5, 0, 3, 3, 4, 6, 1, 2, 4, 4, 3, 4, 1, 3, 6, 1, 3, 2, 2, 1, 7, 1, 1, 4, 1, 1, 4, 2, 4, 3, 1, 3, 2, 2, 3, 5, 1, 4, 4, 8, 2, 4, 4, 1, 2, 2, 2, 3, 2, 5, 2, 5, 5, 2, 2, 2, 2, 3, 4, 6, 1, 4, 4, 1, 6, 3, 2, 2, 6, 2, 2, 5, 3, 6, 5, 2, 2, 2, 4, 4, 3, 4, 4, 2, 1, 1, 2, 6, 1, 3, 1, 4, 1, 3, 3, 4, 4, 4, 2, 4, 4, 3, 4, 4, 3, 1, 1, 4, 1, 0, 2, 2, 1, 1, 1, 3, 7, 2, 4, 1, 3, 3, 2, 0, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 3, 2, 2, 3, 0, 2, 2, 2, 1, 0, 1, 2, 1, 3, 1, 2]"
50,random graphs/big_layer/r1.5k24n16/graph10.lgbin,2015,482,34,50,"[1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 2, 2, 2, 1, 1, 2, 1, 3, 1, 2, 2, 3, 2, 2, 1, 1, 3, 3, 1, 1, 3, 2, 3, 3, 2, 3, 2, 1, 1, 2, 2, 4, 4, 3, 3, 1, 2, 3, 2, 3, 2, 2, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 4, 3, 3, 3, 3, 4, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 3, 4, 1, 2, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 5, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 2, 4, 0, 4, 1, 2, 3, 3, 2, 2, 0, 2, 6, 4, 2, 2, 1, 2, 1, 2, 3, 2, 2, 3, 4, 3, 2, 1, 1, 2, 2, 1, 0, 2, 1, 3, 2, 1, 1, 1, 2, 0, 1, 2, 3, 1, 2, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 2, 2, 0, 2, 1, 0, 4, 2, 2, 3, 2, 1, 1, 1, 2, 0, 1, 1, 3, 4, 1, 2, 1, 2, 0, 3, 1, 1, 0, 1, 3, 0, 1, 3, 2, 1, 2, 0, 2, 1, 1, 2, 0, 2, 3, 1, 0, 1, 2, 1, 1, 2, 1, 1, 0, 0, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 0, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 3, 1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 5, 3, 3, 3, 3, 4, 4, 2, 3, 2, 2, 3, 4, 1, 1, 3, 2, 4, 3, 0, 2, 2, 2, 2, 3, 3, 1, 4, 2, 2, 3, 5, 3, 2, 6, 8, 3, 3, 3, 2, 3, 3, 3, 6, 3, 6, 3, 2, 1, 2, 1, 1, 4, 1, 8, 3, 5, 2, 1, 2, 3, 5, 2, 2, 1, 3, 1, 4, 2, 0, 1, 1, 1, 1, 2, 4, 0, 1, 4, 4, 1, 2, 2, 3, 4, 1, 2, 1, 6, 4, 3, 2]"
51,random graphs/big_layer/r1.5k24n16/graph11.lgbin,2015,839,33,52,"[1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 1, 1, 2, 2, 1, 1, 1, 1, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 1, 0, 2, 3, 1, 2, 1, 0, 1, 1, 0, 1, 2, 0, 4, 4, 2, 4, 2, 2, 4, 2, 2, 3, 3, 2, 2, 1, 5, 5, 2, 4, 2, 2, 4, 5, 2, 5, 2, 1, 4, 5, 3, 4, 2, 1, 2, 4, 2, 6, 1, 4, 1, 3, 1, 0, 2, 1, 3, 7, 5, 2, 0, 0, 2, 1, 1, 2, 2, 1, 2, 4, 5, 2, 2, 1, 1, 4, 4, 2, 1, 1, 2, 1, 1, 3, 2, 5, 4, 3, 2, 0, 2, 1, 3, 2, 1, 2, 1, 0, 1, 1, 0, 4, 2, 2, 0, 2, 3, 2, 3, 1, 4, 4, 4, 1, 3, 4, 3, 1, 3, 2, 4, 2, 4, 2, 2, 1, 2, 1, 1, 4, 4, 5, 1, 3, 2, 2, 3, 5, 2, 2, 2, 1, 1, 4, 2, 1, 5, 2, 1, 4, 2, 1, 1, 5, 4, 1, 2, 0, 2, 1, 3, 0, 1, 2, 1, 4, 1, 1, 1, 3, 2, 1, 4, 0, 2, 4, 3, 3, 3, 1, 0, 0, 2, 2, 1, 1, 1, 4, 1, 2, 2, 4, 5, 3, 2, 4, 3, 1, 5, 3, 5, 4, 1, 1, 1, 2, 4, 5, 2, 1, 5, 3, 2, 2, 4, 1, 4, 4, 1, 4, 3, 2, 3, 1, 1, 3, 2, 5, 2, 3, 2, 1, 2, 5, 3, 2, 3, 3, 3, 1, 2, 3, 2, 4, 5, 1, 6, 3, 1, 7, 5, 2, 2, 4, 5, 2, 1, 3, 2, 8, 2, 4, 2, 3, 2, 1, 2, 5, 1, 2, 2, 2, 3, 4, 1, 4, 2, 2, 4, 1, 7, 2, 5, 2, 6, 4, 1, 1, 6, 2, 5, 1, 0, 1, 2, 1, 2, 2, 1, 2, 3, 3, 5, 3, 2, 3, 1, 5, 1, 1, 4, 7, 4, 1, 6, 1, 4, 3, 2, 3, 5, 3, 3, 1, 2, 1, 5, 2, 4, 1, 3, 1, 3, 2, 2, 1, 3, 3, 2, 2, 2, 1, 0, 1, 1, 2, 2, 1, 1, 2, 2, 1]"
52,random graphs/big_layer/r1.5k24n16/graph12.lgbin,2015,389,40,60,"[2, 1, 2, 1, 2, 3, 1, 2, 2, 3, 2, 2, 3, 1, 4, 3, 2, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 4, 3, 3, 2, 3, 3, 2, 3, 4, 3, 3, 1, 1, 1, 2, 2, 3, 3, 4, 3, 4, 3, 3, 4, 2, 4, 4, 4, 2, 2, 2, 3, 1, 3, 3, 4, 1, 1, 3, 3, 3, 4, 3, 5, 2, 2, 1, 1, 3, 2, 4, 2, 3, 1, 5, 4, 0, 3, 3, 3, 5, 1, 2, 1, 1, 2, 1, 3, 3, 5, 3, 1, 3, 5, 1, 2, 6, 3, 4, 4, 3, 4, 2, 3, 5, 3, 4, 4, 6, 3, 4, 1, 3, 1, 2, 4, 3, 1, 2, 3, 1, 3, 2, 4, 3, 8, 4, 6, 2, 1, 4, 5, 3, 6, 0, 3, 4, 2, 2, 4, 1, 1, 5, 7, 0, 2, 3, 3, 2, 4, 4, 0, 1, 0, 4, 1, 2, 3, 2, 4, 4, 1, 2, 1, 3, 2, 1, 2, 2, 5, 1, 2, 6, 2, 2, 1, 2, 3, 2, 4, 4, 4, 1, 2, 2, 2, 3, 4, 2, 1, 3, 2, 3, 2, 2, 3, 1, 2, 2, 8, 3, 2, 1, 6, 1, 1, 3, 2, 3, 2, 2, 3, 4, 3, 2, 3, 2, 3, 2, 2, 8, 3, 2, 1, 3, 3, 2, 1, 2, 7, 1, 2, 2, 3, 3, 4, 2, 2, 4, 5, 0, 3, 3, 5, 6, 1, 5, 2, 2, 2, 1, 1, 3, 0, 2, 2, 5, 4, 4, 0, 2, 2, 2, 1, 1, 1, 0, 3, 2, 1, 1, 1, 3, 2, 1, 2, 6, 1, 3, 3, 1, 4, 1, 0, 5, 1, 2, 1, 3, 2, 1, 2, 1, 1, 3, 2, 4, 0, 3, 2, 1, 1, 5, 2, 2, 2, 3, 4, 5, 4, 1, 2, 1, 1, 2, 2, 2, 2, 3, 4, 1, 0, 4, 1, 3, 1, 1, 1, 2, 3, 3, 3, 4, 3, 2, 2, 1, 3, 2, 5, 2, 3, 2, 4, 1, 5, 3, 4, 1, 4, 3, 1, 3, 2, 1, 3, 0, 3, 3, 3, 2, 3, 1, 3, 2, 2, 1, 1, 3, 3, 1, 2, 1, 3, 2, 3, 3, 0, 2, 2, 2, 4, 2, 1, 1, 3, 2, 2, 2, 1, 2, 1, 2, 3]"
53,random graphs/big_layer/r1.5k24n16/graph13.lgbin,2015,278,42,59,"[1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 3, 1, 0, 2, 2, 1, 1, 1, 2, 2, 3, 1, 1, 2, 3, 4, 1, 1, 1, 3, 3, 1, 3, 3, 2, 1, 2, 3, 2, 1, 1, 3, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 5, 2, 1, 1, 2, 1, 8, 1, 2, 4, 2, 1, 6, 3, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 0, 2, 0, 1, 3, 2, 8, 2, 5, 2, 3, 3, 5, 1, 0, 2, 4, 4, 5, 3, 2, 2, 4, 5, 6, 2, 4, 0, 12, 4, 3, 1, 1, 7, 7, 5, 3, 3, 1, 2, 0, 5, 3, 4, 3, 1, 7, 7, 1, 3, 2, 3, 5, 3, 6, 4, 2, 2, 2, 10, 5, 5, 3, 5, 2, 3, 2, 6, 2, 6, 2, 3, 6, 4, 9, 3, 1, 3, 0, 6, 3, 2, 5, 3, 5, 4, 7, 2, 6, 4, 9, 4, 5, 3, 5, 7, 4, 6, 4, 1, 5, 4, 4, 5, 5, 2, 2, 3, 1, 5, 1, 4, 2, 3, 1, 2, 5, 5, 5, 1, 5, 2, 0, 4, 1, 1, 5, 2, 2, 5, 3, 1, 3, 3, 2, 1, 1, 1, 1, 0, 2, 1, 3, 2, 2, 0, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 1, 1, 2, 3, 0, 1, 1, 1, 3, 2, 2, 1, 4, 4, 3, 1, 2, 3, 3, 2, 1, 5, 2, 2, 2, 1, 3, 3, 4, 1, 4, 2, 3, 2, 0, 1, 2, 2, 2, 2, 0, 2, 4, 3, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 0, 2, 0, 2, 0, 1, 2, 1, 2, 1, 2, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
54,random graphs/big_layer/r1.5k24n16/graph14.lgbin,2015,576,35,55,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 1, 0, 2, 1, 1, 2, 1, 1, 3, 1, 4, 3, 1, 2, 1, 2, 4, 2, 2, 1, 0, 2, 1, 2, 1, 0, 2, 3, 4, 2, 1, 4, 2, 4, 1, 2, 2, 3, 3, 0, 4, 2, 3, 4, 5, 0, 3, 3, 3, 1, 1, 1, 3, 3, 0, 2, 2, 4, 1, 2, 6, 5, 1, 3, 2, 1, 1, 4, 6, 1, 6, 6, 3, 1, 1, 4, 1, 3, 1, 6, 1, 5, 2, 7, 2, 2, 3, 1, 1, 3, 2, 2, 5, 5, 5, 2, 4, 2, 8, 3, 5, 2, 1, 1, 3, 2, 2, 2, 3, 5, 5, 6, 1, 3, 4, 2, 4, 4, 6, 2, 8, 2, 1, 1, 5, 4, 7, 2, 9, 1, 5, 4, 1, 2, 4, 6, 2, 4, 6, 2, 3, 3, 1, 6, 11, 0, 5, 2, 3, 3, 6, 2, 6, 1, 6, 4, 2, 3, 5, 2, 4, 5, 5, 0, 4, 4, 3, 4, 4, 2, 1, 2, 6, 5, 2, 5, 2, 4, 3, 6, 2, 5, 3, 2, 5, 1, 2, 1, 4, 1, 5, 6, 3, 4, 2, 1, 2, 3, 3, 3, 2, 1, 5, 2, 2, 2, 4, 6, 1, 3, 3, 1, 2, 3, 2, 3, 2, 1, 2, 0, 2, 4, 4, 1, 3, 2, 2, 1, 2, 6, 2, 3, 2, 4, 2, 1, 3, 6, 0, 3, 2, 1, 4, 2, 1, 2, 1, 2, 1, 0, 4, 1, 2, 2, 2, 2, 0, 2, 4, 3, 1, 4, 0, 1, 4, 3, 2, 1, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1, 0, 3, 2, 1, 1, 1, 4, 4, 4, 4, 3, 4, 1, 3, 1, 0, 2, 1, 4, 4, 3, 2, 3, 4, 3, 3, 1, 4, 1, 4, 4, 3, 2, 3, 3, 3, 4, 0, 2, 4, 2, 4, 4, 2, 4, 4, 1, 2, 2, 3, 0, 4, 4, 3, 3, 2]"
